,hashtag,values
0,NewYearsResolution,3562
1,2015,164
2,newyearsresolution,159
3,NewYear,62
4,NewYearsEve,58
5,HappyNewYear,50
6,1,48
7,NYE2015,30
8,HashtagOfTheWeek,19
9,NewYear2015,14
10,fitness,13
11,2,13
12,Newyearsresolution,12
13,NewYearNewMe,11
14,health,10
15,goals,9
16,GoalsFor2015,9
17,2015Goals,9
18,healthy,9
19,ResolutionsFor2015,9
20,TixWish,9
21,newyears,8
22,newyear,8
23,workout,8
24,resolution,8
25,amwriting,8
26,3,8
27,newyearnewme,7
28,motivation,7
29,weightloss,7
30,Encouragement,7
31,YouAreWorthIt,7
32,NYE,7
33,resolutions,6
34,success,6
35,fitfam,6
36,2014,6
37,hashtagoftheweek,6
38,God,6
39,love,5
40,twitter,5
41,NewYears,5
42,happynewyear,5
43,running,5
44,yoga,5
45,mondayblogs,5
46,newyearseve,5
47,11,4
48,NewYearsresolution,4
49,ShowTickets,4
50,12Days,4
51,fitnessmotivation,4
52,BeHappy,4
53,writing,4
54,diet,4
55,NewBeginnings,4
56,music,4
57,Goals,4
58,N,4
59,NewYearNewYou,4
60,travel,4
61,ATTCrowd,4
62,ad,4
63,20ThingsIWantFor2015,4
64,HILOVERS,4
65,2k15,4
66,getinshape,4
67,summerbodies,4
68,aremadeinthewinter,4
69,life,3
70,bucketlist,3
71,writerslife,3
72,gym,3
73,lifegoals,3
74,HelpOthers,3
75,selfimprovement,3
76,NewYearsRes,3
77,fitbit,3
78,detox,3
79,runchat,3
80,loseweight,3
81,NewYearsResolut,3
82,NewYearsResoluti,3
83,getfit,3
84,friends,3
85,socialmedia,3
86,eatclean,3
87,cleaneating,3
88,tiger,3
89,Peace,3
90,workhard,3
91,4,3
92,6,3
93,CountdownTo2015,3
94,Twitter,3
95,run,3
96,Happy2015,3
97,startup,3
98,tcot,3
99,FoxNews2015,3
100,NewYearsResolutionTo,3
101,exercise,3
102,stronger2015,3
103,rachelclarkgiveaway,3
104,healthyliving,2
105,holidays,2
106,iwillwalk500miles,2
107,FollowTheFrog,2
108,Music,2
109,candycrush,2
110,motto,2
111,NewYearsResolu,2
112,BlackLivesMatter,2
113,tweets,2
114,entrepreneurship,2
115,excited,2
116,change,2
117,can,2
118,future,2
119,budget,2
120,finance,2
121,Anyway,2
122,realtalk,2
123,chastity,2
124,coffee,2
125,NYR,2
126,adult,2
127,newyearskiss,2
128,juice,2
129,share,2
130,NewYorkCity,2
131,movies,2
132,babysteps,2
133,Christmas,2
134,Change,2
135,gethealthy,2
136,shopping,2
137,picturebooks,2
138,publishers,2
139,LGM,2
140,NewYears2015,2
141,MovingOn,2
142,cholesterol,2
143,GetFit,2
144,happiness,2
145,2015resolutions,2
146,NewYou,2
147,StriveForGreatness,2
148,begreat,2
149,bebettereveryday,2
150,NoteCards,2
151,PayItForward,2
152,SaveDallas2015,2
153,CountOurBlessingOneByOne,2
154,BeastMode,2
155,youtube,2
156,earlystart,2
157,SocialMedia,2
158,webdesign,2
159,escape,2
160,blog,2
161,justkidding,2
162,fit,2
163,marathontraining,2
164,amreading,2
165,5,2
166,9,2
167,meditation,2
168,10,2
169,TalentPool,2
170,smile,2
171,NewYearNewMeSteps,2
172,achievable,2
173,career,2
174,Hashtagoftheweek,2
175,tbt,2
176,awesome,2
177,oops,2
178,lifestyle,2
179,emojis,2
180,steampunk,2
181,NewYearsReso,2
182,Hurom,2
183,slowjuicer,2
184,PartyLikeAJournalist,2
185,Fitness,2
186,newyears2015,2
187,Blendedroyalty,2
188,Oregon,2
189,leagueoflegends,2
190,2014Memories,2
191,keepingitsimple,2
192,Christ,2
193,LeanAndMean2015,2
194,BRTrend,2
195,cosplay,2
196,quote,2
197,gymlife,2
198,art,2
199,AgeOfUltron,2
200,cardio,2
201,BringOn2015,2
202,NewY,2
203,lol,2
204,onlinedating,2
205,MyOasisLA,2
206,Hillsong,2
207,HillsongLA,2
208,Pinterest,2
209,TheWalkingDeadMarathon,2
210,Jesus,2
211,Christianity,2
212,Empire,2
213,letsdothis,2
214,PitbullNYE,2
215,HorseRacing,2
216,BringItOn2015,2
217,SharksHeadline,2
218,punku,2
219,haiku,2
220,senryu,2
221,RockinEve,2
222,NYResolutions,2
223,Blessed2015,2
224,oomf,2
225,skinnyjeansbestfriend,2
226,kickstarter2015,2
227,ew,1
228,hotyoga,1
229,healthiswealth,1
230,loveyourlife,1
231,christmastime,1
232,stayingFIT,1
233,toneUP,1
234,StallionBOOTY,1
235,platinum,1
236,tennis,1
237,1problem,1
238,pretentious,1
239,evolution,1
240,workoutorwalkout,1
241,GymTime,1
242,vacation,1
243,DCIM,1
244,switchgear,1
245,cloudstorage,1
246,endoftheyear,1
247,almostthere,1
248,eatmore,1
249,newyearsameme,1
250,p90,1
251,secondfitness,1
252,bae,1
253,quit,1
254,smoking,1
255,HappyMonday,1
256,Focus,1
257,goal,1
258,techumor,1
259,woodhana,1
260,sriracha,1
261,FollowMeAaron,1
262,SoUpset,1
263,EDM,1
264,Dance,1
265,liberals,1
266,DemocratsSetting,1
267,JustSayin,1
268,EternalSadness,1
269,feelingmotivated,1
270,3w2s,1
271,AchievableGoals,1
272,countdownto2015,1
273,TheMaster,1
274,personalgrowth,1
275,confessions,1
276,Iwantobehip,1
277,ATL,1
278,ValentinesDay,1
279,nervo,1
280,edm,1
281,dreams,1
282,confidence,1
283,RP,1
284,ChristmasAlone,1
285,DAI,1
286,notabadthing,1
287,AllForMe,1
288,NeedACleverHashtag,1
289,selfhelp,1
290,relateable,1
291,Funny,1
292,Comedy,1
293,seattle,1
294,ferguson,1
295,shutitdown,1
296,jesusyear,1
297,dreambody,1
298,work,1
299,happylife,1
300,healthyfood,1
301,colorfulplate,1
302,NoLove,1
303,gaming,1
304,Entrepreneurs,1
305,growth,1
306,job,1
307,neworleans,1
308,ready,1
309,neverworthmytime,1
310,goodbyepast,1
311,hellofuture,1
312,progress,1
313,Gem,1
314,crosscountry,1
315,eventing,1
316,equestrian,1
317,Crunch,1
318,ballet,1
319,splits,1
320,rosettastone,1
321,PCSB,1
322,dropthebabyweight,1
323,futurist,1
324,morning,1
325,thought,1
326,FreshFade,1
327,GotTooTan,1
328,ChistmasEveCrossfit,1
329,YourLate,1
330,win,1
331,everyday_Ù,1
332,sowhat,1
333,newme,1
334,financialadvice,1
335,ChristmasMiracle,1
336,tedtalk,1
337,glutenfree,1
338,healthylifestyle,1
339,winterrunning,1
340,358,1
341,MerryChristmasEve,1
342,NextYear,1
343,HisLifeNotMine,1
344,tweettillihavenomorefriends,1
345,selfcare,1
346,phillyyoga,1
347,phillyfit,1
348,isthataweirdresolution,1
349,bubblewrap,1
350,Plastic,1
351,nohaters,1
352,HereWeGo2015,1
353,dslr,1
354,canon,1
355,eosrebelt5,1
356,sobored,1
357,freshstart,1
358,everything,1
359,wishfulthinking,1
360,tryingtofitin,1
361,Getup,1
362,getout,1
363,postbabybody,1
364,NoExcuses,1
365,bestladsever,1
366,TWFanmily,1
367,natural,1
368,Perfume,1
369,SorryNotSorry,1
370,skinny2015,1
371,BusyMoms,1
372,WAHM,1
373,Parents,1
374,mompreneur,1
375,mombiz,1
376,GameOfThrones,1
377,LovingLife,1
378,Beatitudes,1
379,forgiveness,1
380,StartingtoSave,1
381,FITGodsWay,1
382,thrive,1
383,workouts,1
384,supplements,1
385,Facebook,1
386,Instagram,1
387,15PoundsToGo,1
388,2fit2quit,1
389,NoBlamingOrComplaining,1
390,healthyfornewyears,1
391,MOSSA,1
392,Fight,1
393,healthygamer,1
394,Rusolution,1
395,detoxworkshop,1
396,cleanse,1
397,colonics,1
398,Drama,1
399,BS,1
400,LifeIsShort,1
401,ultrachat,1
402,nikeplus,1
403,ProblemSolved,1
404,HealthyLiving,1
405,ProjectLife,1
406,runnerspace,1
407,flotrack,1
408,Exeter,1
409,creative,1
410,mindfulliving,1
411,mindfood,1
412,skinny,1
413,Ana,1
414,proana,1
415,skinnydreams,1
416,binging,1
417,purging,1
418,TakeOver,1
419,watch,1
420,itsgonnahappen,1
421,sucker,1
422,LessStress,1
423,LessonsForLife,1
