,tagged_acc,values
0,l00tapp,47
1,chrisbrown,41
2,Cariloha,36
3,MLBPAClubhouse,28
4,StubHub,17
5,WWF,14
6,Nashgrier,8
7,nicolewinhoffer,7
8,delsolcolor,7
9,AuntieAnnes,7
10,madonna,6
11,parksandrecnbc,6
12,grimalkinrn,6
13,TheEllenShow,5
14,ASAPferg,5
15,l00tappp,5
16,pewdiepie,5
17,camerondallas,4
18,Harry_Styles,4
19,UnusedPotential,4
20,MadonnaRule2015,3
21,VisitBritain,3
22,tacobell,3
23,ochocinco,3
24,BlakesNatural,3
25,DrRubidium,3
26,NiallOfficial,3
27,rachelbeauty4,3
28,WomensHumor,3
29,K1NG_JAMES_,2
30,adrianna_love,2
31,JCore25,2
32,thespringsla,2
33,bullhorngirl,2
34,JessicaDrown,2
35,jimmyfallon,2
36,Mets,2
37,Joe_Sugg,2
38,blogilates,2
39,FlawnOcho,2
40,TeamBobbyEwing,2
41,KymKral,2
42,mouthypants,2
43,RidersbyLee,2
44,Kaneshow,2
45,AGT_Auditions,2
46,YouTube,2
47,GetTalentedly,2
48,tcc4348,2
49,scotthbrown,2
50,ArianaGrande,2
51,DannysHaus,2
52,VoiceofDaReal,2
53,McDonalds,2
54,MileyCyrus,2
55,DerickPauls,2
56,rainrain919,2
57,NewYrsResolutiN,2
58,Xaviersworld,2
59,biggie_paul,2
60,JournalistsLike,2
61,BarackObama,2
62,standtall___,2
63,MzWellsh40,2
64,gomez__,2
65,5SOS,2
66,nonprophetess,2
67,JODYHiGHROLLER,2
68,Itz_Ahmed7,2
69,Beyonce,2
70,lexxi_007,2
71,Pinterest,2
72,Envelopes_com,2
73,KimKardashian,2
74,Luke5SOS,2
75,Ashton5SOS,2
76,Starbucks,2
77,BMNYC53,2
78,netflix,2
79,JessicaVaugn,2
80,ddlovato,2
81,adamlambert,2
82,samsmithworld,2
83,RyanCapouch,2
84,ChuckWendig,2
85,sblackmoore,2
86,ScottWarner18,2
87,taylorswift13,2
88,Pr3zKiD,2
89,UncleSebastian,2
90,TODAYshow,2
91,MarshallRamsey,2
92,preppy_nc,2
93,BitterBlueBetty,2
94,justinbieber,2
95,PrezBlackhurst,2
96,jimmyjohns,2
97,angelesdlr,2
98,Puddinstrip,2
99,infinitywallets,2
100,NoChillPosts,2
101,tumbIerposts,2
102,VeronicaRoth,2
103,ashley_pg19,1
104,PartiPants27,1
105,ULTA_Beauty,1
106,Lindseylelledee,1
107,xNova_Cane,1
108,BelleIsle_Rack,1
109,FieldViewSolu,1
110,AnordCritical,1
111,Seven10Software,1
112,margaretyo,1
113,baconandbutters,1
114,VanessaKEccles,1
115,BostInno,1
116,Gnarlylet,1
117,Diaz2000Cynthia,1
118,MarewaGlover,1
119,AaronCarpenter,1
120,Spotify,1
121,iTunesMusic,1
122,melindaax21,1
123,Nasreinberro,1
124,ZeeHourani,1
125,SpartanRace,1
126,TheDolceDiet,1
127,sydnipina,1
128,ADAMDEVINE,1
129,LEVIS,1
130,bubbleygalinda,1
131,jtimberlake,1
132,nervomusic,1
133,fitnessandfeta,1
134,KingQuijano,1
135,LaVidaMassage,1
136,czarcasmnyc,1
137,GolTV,1
138,chicadlicious,1
139,EmilyKTVZ,1
140,BetweenWorlds25,1
141,lucky_uddin1,1
142,sammywilk,1
143,RussellWGordon,1
144,WhoTFisjohnny,1
145,Amandazz101,1
146,austinswift7,1
147,goodreads,1
148,offkey_kc,1
149,ThirtyOne,1
150,JulienKang,1
151,zachteck,1
152,saymorris,1
153,krispykreme,1
154,HopeMilbry,1
155,recoveryspirit,1
156,KimLeyva,1
157,YucciMane,1
158,xSmootx,1
159,zactavious,1
160,Tafa64,1
161,GarcelleB,1
162,dynamicbis,1
163,keepersecurity,1
164,YosemiteNPS,1
165,LakeTahoeCA,1
166,k2therend2,1
167,SamuelMahoney2,1
168,Reek23,1
169,bbcdoctorwho,1
170,trilllightskin_,1
171,RanDosen,1
172,thewanted,1
173,SkylarAstin,1
174,EMPRESSRAW,1
175,beedelma,1
176,DESTINYDIXON,1
177,MyNamesChai,1
178,VicarKelly,1
179,XboxFitness,1
180,ServiceRecipe,1
181,PlanetFitness,1
182,TheRecipeClub,1
183,SoLovedByGod1,1
184,ETizghost,1
185,seacoastonline,1
186,ToddPM,1
187,JenSelter,1
188,jillibean052,1
189,Britters_Smith,1
190,D_Lask1515,1
191,Snapchat,1
192,Mega64,1
193,byandmarge,1
194,WhiteBeltBJJ,1
195,marilynjspeaks,1
196,MangoSalute,1
197,mrjerryxxx,1
198,Hozier,1
199,jamiecullum,1
200,MetsFanatic86,1
201,Miss_Shortitude,1
202,VansWarpedTour,1
203,5sosinConcord,1
204,owitY,1
205,BelcampoMeat,1
